"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/trecmap","test/mrr","test/trecndcgat10","test/trecndcgat20","test/precisionat10","test/precisionat20"
"effortless-butterfly-958","finished","35489","layer:12, msm_coref","bert-msm-doc","2022-03-25T11:46:02.000Z","12","47352.2265625","3.4326157569885254","0.9099690914154052","","","","","",""
"brisk-sound-955","finished","29749","layer:11, msm_coref","bert-msm-doc","2022-03-25T03:29:30.000Z","11","32987.578125","4.927370071411133","0.9375663995742798","","","","","",""
"exalted-planet-952","finished","23417","layer:10, msm_coref","bert-msm-doc","2022-03-24T20:58:53.000Z","10","31932.791015625","5.090128421783447","0.9406052827835084","","","","","",""
"splendid-field-949","finished","26311","layer:9, msm_coref","bert-msm-doc","2022-03-24T13:39:56.000Z","9","31045.671875","5.235576629638672","0.9443607330322266","","","","","",""
"desert-pine-947","finished","25643","layer:8, msm_coref","bert-msm-doc","2022-03-24T06:32:12.000Z","8","29750.279296875","5.463545322418213","0.9432241916656494","","","","","",""
"kind-salad-924","finished","25670","layer:7, msm_coref","bert-msm-doc","2022-03-23T23:23:46.000Z","7","30148.767578125","5.391331672668457","0.9524644613265992","","","","","",""
"royal-butterfly-921","finished","24435","layer:6, msm_coref","bert-msm-doc","2022-03-23T16:35:51.000Z","6","29427.99609375","5.523379802703857","0.9532551169395448","","","","","",""
"polar-cloud-913","finished","20487","layer:5, msm_coref","bert-msm-doc","2022-03-22T20:03:10.000Z","5","29459.650390625","5.517445087432861","0.952958643436432","","","","","",""
"different-bird-910","finished","17253","layer:4, msm_coref","bert-msm-doc","2022-03-22T15:15:12.000Z","4","29783.029296875","5.457537651062012","0.9533045291900636","","","","","",""
"fluent-universe-908","finished","15953","layer:3, msm_coref","bert-msm-doc","2022-03-22T10:48:58.000Z","3","33282.44140625","4.883716106414795","0.9388017058372498","","","","","",""
"dulcet-lake-905","finished","16718","layer:2, msm_coref","bert-msm-doc","2022-03-22T06:10:07.000Z","2","37709.671875","4.3103532791137695","0.9262260794639589","","","","","",""
"still-pine-901","finished","18887","layer:1, msm_coref","bert-msm-doc","2022-03-22T00:55:07.000Z","1","45915.98046875","3.539987564086914","0.945941925048828","","","","","",""
"glad-armadillo-900","finished","17912","layer:0, msm_coref","bert-msm-doc","2022-03-21T19:56:18.000Z","0","51008.609375","3.1865601539611816","0.9388758540153505","","","","","",""